Category,Installs,Rating,Reviews,Size,Price
ART_AND_DESIGN,2003759.68,4.36,27651.16,12.77,0.1
AUTO_AND_VEHICLES,727805.48,4.19,15940.14,21.54,0.03
BEAUTY,640861.9,4.28,9407.93,15.51,0.0
BOOKS_AND_REFERENCE,10793773.34,4.35,123363.26,14.39,0.13
BUSINESS,3306165.41,4.12,46053.09,14.91,0.25
COMICS,966139.66,4.16,58309.4,13.16,0.0
COMMUNICATION,99534272.96,4.16,2486164.02,12.46,0.17
DATING,1355359.54,3.97,37389.94,18.31,0.12
EDUCATION,5621625.81,4.39,255451.68,20.76,0.12
ENTERTAINMENT,19256107.38,4.13,397168.82,21.85,0.05
EVENTS,354431.33,4.44,3568.67,14.43,0.0
FAMILY,5871609.38,4.19,234815.73,30.15,1.31
FINANCE,2713970.28,4.13,54335.62,18.59,7.55
FOOD_AND_DRINK,2511722.48,4.17,81495.5,24.16,0.08
GAME,31983466.47,4.29,1445232.07,45.34,0.26
HEALTH_AND_FITNESS,5330155.62,4.28,127587.95,24.24,0.15
HOUSE_AND_HOME,2218184.21,4.2,52315.84,17.51,0.0
LIBRARIES_AND_DEMO,955123.08,4.18,15900.54,12.49,0.0
LIFESTYLE,1711978.09,4.09,41024.74,15.37,6.24
MAPS_AND_NAVIGATION,5840867.42,4.05,247250.48,17.45,0.22
MEDICAL,152015.93,4.19,4530.35,19.41,2.98
NEWS_AND_MAGAZINES,32172577.9,4.13,233475.96,13.13,0.02
PARENTING,622322.2,4.3,19072.18,21.58,0.19
PERSONALIZATION,7405582.58,4.34,284540.81,11.63,0.41
PHOTOGRAPHY,31824110.82,4.19,673553.97,17.6,0.28
PRODUCTIVITY,40387664.33,4.21,325118.85,12.9,0.2
SHOPPING,13646351.01,4.26,483365.68,17.11,0.02
SOCIAL,54323712.26,4.26,2398614.25,19.17,0.01
SPORTS,5489440.33,4.22,222036.26,26.51,0.29
TOOLS,15600442.1,4.05,372185.51,8.29,0.28
TRAVEL_AND_LOCAL,30393182.74,4.11,277069.79,25.25,0.17
VIDEO_PLAYERS,38886857.5,4.06,689873.08,16.16,0.07
WEATHER,5681286.67,4.24,194729.27,13.41,0.39
